Code	Codelist Code	Codelist Extensible (Yes/No)	Codelist Name	CDISC Submission Value	CDISC Synonym(s)	CDISC Definition	NCI Preferred Term
C117783	C71153		ECG Test Code	QTAG	QT Interval, Aggregate	An aggregate QT value based on the measurement of QT intervals from multiple beats within a single ECG. The method of aggregation, which can vary, is typically a measure of central tendency such as the mean.	Aggregate QT Interval
C100391	C71153		ECG Test Code	QTC	QT Interval, Corrected	The time interval between the start of the Q wave and the end of the T wave in the cardiac cycle as corrected with a non-specified correction formula.	Corrected QT Interval
C62112	C71153		ECG Test Code	QTCB	QTcB - Bazett's Correction Formula	A formula which takes into account the physiologic shortening of the QT interval which occurs as the heart rate increases, permitting comparison of the QT interval across a range of rates. It is mathematically defined as: QTcB = QT/SqRootRR(seconds) and theoretically corrects the QT interval to that which would be observed at a heart rate of 1 cycle per second. (NCI)	QTcB - Bazett's Correction Formula
C117784	C71153		ECG Test Code	QTCBAG	QTCB Interval, Aggregate	A QTAG interval corrected for heart rate using Bazett's formula.	Aggregate QTCB Interval
C117785	C71153		ECG Test Code	QTCBSB	QTCB Interval, Single Beat	A QTSB interval corrected for heart rate using Bazett's formula.	Single Beat QTCB Interval
C62113	C71153		ECG Test Code	QTCF	QTcF - Fridericia's Correction Formula	A formula which takes into account the physiologic shortening of the QT interval which occurs as the heart rate increases, permitting comparison of the QT interval across a range of rates. It is mathematically defined as: QTcF = QT/CubeRootRR(seconds) and theoretically corrects the QT interval to that which would be observed at a heart rate of 1 cycle per second. (NCI)	QTcF - Fridericia's Correction Formula
C117786	C71153		ECG Test Code	QTCFAG	QTCF Interval, Aggregate	A QTAG interval corrected for heart rate using Fridericia's formula.	Aggregate QTCF Interval
C102253	C71153		ECG Test Code	QTCFMED	Summary (Median) QTcF	The median duration (time) of the QTc interval, obtained from a set of measurements of the QT interval and corrected using the Fridericia's correction Formula.	Median QTcF
C117787	C71153		ECG Test Code	QTCFSB	QTCF Interval, Single Beat	A QTSB interval corrected for heart rate using Fridericia's formula.	Single Beat QTCF Interval
C62114	C71153		ECG Test Code	QTCLC	QTcLC - Linear Correction Formula	A formula which takes into account the physiologic shortening of the QT interval which occurs as the heart rate increases, permitting comparison of the QT interval across a range of rates. The linear correction formula uses population-based data obtained and validated using a large cohort of subjects. This method theoretically corrects the QT interval to that which would be observed at a heart rate of 1 cycle per second. (NCI)	QTcLC - Linear Correction Formula
C90442	C71153		ECG Test Code	QTCV	QTcV - Van de Water's Correction Formula	A mathematic formula defined as: QTcV = QT-0.087[(60/Heart Rate)-1](seconds). It permits comparison of the QT interval across a range of rates, while accounting for the progressive shortening of the QT interval which occurs as the heart rate increases. (NCI)	QTcV - Van de Water's Correction Formula
C62135	C71153		ECG Test Code	QTMAX	Summary (Max) QT Duration	The maximum duration (time) of the QT interval, obtained from a set of measurements of the QT interval. The QT interval is defined as the time from the beginning of the QRS complex to the end of the T wave, representing the time it takes for the ventricles to depolarize and subsequently repolarize. In some cases, the Q wave will be absent, in which case the QT interval is measured from the beginning of the R wave to the end of the T wave. (NCI)	Maximum QT Duration
C62089	C71153		ECG Test Code	QTMEAN	Summary (Mean) QT Duration	The average (mean) duration (time) of the QT interval, obtained from a set of measurements of the QT interval. The QT interval is defined as the time from the beginning of the QRS complex to the end of the T wave, representing the time it takes for the ventricles to depolarize and subsequently repolarize. In some cases, the Q wave will be absent, in which case the QT interval is measured from the beginning of the R wave to the end of the T wave. (NCI)	Mean QT Duration
C102252	C71153		ECG Test Code	QTMED	Summary (Median) QT Duration	The median duration (time) of the QT interval, obtained from a set of measurements of the QT interval. The QT interval is defined as the time from the beginning of the QRS complex to the end of the T wave, representing the time it takes for the ventricles to depolarize and subsequently repolarize. In some cases, the Q wave will be absent, in which case the QT interval is measured from the beginning of the R wave to the end of the T wave.	Median QT Duration
C62133	C71153		ECG Test Code	QTMIN	Summary (Min) QT Duration	The minimum duration (time) of the QT interval, obtained from a set of measurements of the QT interval. The QT interval is defined as the time from the beginning of the QRS complex to the end of the T wave, representing the time it takes for the ventricles to depolarize and subsequently repolarize. In some cases, the Q wave will be absent, in which case the QT interval is measured from the beginning of the R wave to the end of the T wave. (NCI)	Minimum QT Duration
C117788	C71153		ECG Test Code	QTSB	QT Interval, Single Beat	An electrocardiographic interval measured from the onset of the QRS complex to the offset of the T wave of a single beat utilizing one or more leads.	Single Beat QT Interval
C117789	C71153		ECG Test Code	QWAAG	Q Wave Amplitude, Aggregate	An aggregate Q wave amplitude value based on the measurement of Q wave amplitudes from multiple beats within a single ECG. The method of aggregation, which can vary, is typically a measure of central tendency such as the mean.	Aggregate Q Wave Amplitude
C117790	C71153		ECG Test Code	QWASB	Q Wave Amplitude, Single Beat	An electrocardiographic measurement of the mean amplitude (usually measured in mV) of the Q wave measured from the isoelectric baseline to the peak of the Q wave of a single beat utilizing one or more leads. Based on the recording gain, this measurement may also be reported in mm.	Single Beat Q Wave Amplitude
C111307	C71153		ECG Test Code	RHYNOS	Rhythm Not Otherwise Specified	An electrocardiographic assessment of cardiac rhythm not otherwise specified.	Rhythm Not Otherwise Specified ECG Assessment
C117791	C71153		ECG Test Code	RRAG	RR Interval, Aggregate	An aggregate RR value based on the measurement of RR intervals from multiple beats within a single ECG. The method of aggregation, which can vary, is typically a measure of central tendency such as the mean.	Aggregate RR Interval
C62094	C71153		ECG Test Code	RRMAX	Summary (Max) RR Duration	The maximum duration (time) between successive peaks of R waves in a particular set of RR intervals. (NCI)	Maximum RR Duration
C62090	C71153		ECG Test Code	RRMEAN	Summary (Mean) RR Duration	The average (mean) duration (time) of the RR interval, obtained from a set of measurements of the RR interval. The RR interval is defined as the time between successive peaks of the R wave and can be used to measure the ventricular rate. (NCI)	Mean RR Duration
C102254	C71153		ECG Test Code	RRMED	Summary (Median) RR Duration	The median duration (time) of the RR interval, obtained from a set of measurements of the RR interval. The RR interval is defined as the time between successive peaks of the R wave and can be used to measure the ventricular rate.	Median RR Duration
C62093	C71153		ECG Test Code	RRMIN	Summary (Min) RR Duration	The minimum duration (time) between successive peaks of R waves in a particular set of RR intervals. (NCI)	Minimum RR Duration
C117792	C71153		ECG Test Code	RRSM	RR Interval, Single Measurement	An electrocardiographic measurement of the interval between two consecutive R waves. If R waves are not present, this measurement may utilize the interval between the most easily identified components of the QRS complex within two consecutive beats.	RR Interval Single Measurement
C117793	C71153		ECG Test Code	RSAAG	RS Wave Amplitude, Aggregate	An aggregate RS wave amplitude value based on measurements from multiple beats from a single ECG. The method of aggregation, which can vary, is typically a measure of central tendency such as the mean.	RS Wave Amplitude Aggregate
C62144	C71153		ECG Test Code	RSAMP	Summary (Mean) R+S Amplitude	The average (mean) amplitude (usually in mm) of the summation of the R and S waves, obtained from a set of measurements of the R and S waves, in a particular lead or set of leads. (NCI)	Mean R+S Amplitude
C117794	C71153		ECG Test Code	RSASB	RS Wave Amplitude, Single Beat	An electrocardiographic measurement of the sum of the amplitudes of the R and S waves, obtained from a single beat in one particular lead or set of leads.	RS Wave Amplitude Single Beat
C117795	C71153		ECG Test Code	RWAAG	R Wave Amplitude, Aggregate	An aggregate R wave amplitude value based on the measurement of R wave amplitudes from multiple beats within a single ECG. The method of aggregation, which can vary, is typically a measure of central tendency such as the mean.	R Wave Amplitude Aggregate
C117796	C71153		ECG Test Code	RWASB	R Wave Amplitude, Single Beat	An electrocardiographic measurement of the mean amplitude (usually measured in mV) of the R wave measured from the isoelectric baseline to the peak of the R wave of a single beat utilizing one or more leads. Based on the recording gain, this measurement may also be reported in mm.	R Wave Amplitude Single Beat
C62136	C71153		ECG Test Code	RWAVEAMP	Summary (Mean) R Wave Amplitude	The average (mean) amplitude (usually in mm) of the R wave, obtained from a set of measurements of the R wave, in a particular lead or set of leads. (NCI)	Mean R Wave Amplitude
C111312	C71153		ECG Test Code	SNRARRY	Sinus Node Rhythms and Arrhythmias	An electrocardiographic assessment of sinus node rhythms and arrhythmias.	Sinus Node Rhythm and Arrhythmia ECG Assessment
C111320	C71153		ECG Test Code	SPRARRY	Supraventricular Arrhythmias	An electrocardiographic assessment of supraventricular arrhythmias excluding tachycardias.	Supraventricular Arrhythmia ECG Assessment
C111321	C71153		ECG Test Code	SPRTARRY	Supraventricular Tachyarrhythmias	An electrocardiographic assessment of supraventricular tachyarrhythmias.	Supraventricular Tachyarrhythmia ECG Assessment
C117797	C71153		ECG Test Code	STDAG	ST Segment Depression, Aggregate	An aggregate ST segment depression value based on the measurement of ST segment depression from multiple beats within a single ECG. The method of aggregation, which can vary, is typically a measure of central tendency such as the mean.	ST Segment Depression Aggregate
C62163	C71153		ECG Test Code	STDPMAX	Summary (Max) ST Depression	The maximum depression (negative deflection from baseline, usually measured in mm) of the ST segment, obtained from a set of measurements of the depression of the ST segment. (NCI)	Maximum ST Segment Depression by ECG Finding
